曲线名称,日期,3月,6月,1年,3年,5年,7年,10年,30年
中债商业银行普通债收益率曲线(AAA),2020-03-13,2.1126,2.2524,2.3831,2.8356,3.1405,3.3646,3.6464,4.1039
中债中短期票据收益率曲线(AAA),2020-03-16,2.2686,2.3585,2.5936,3.0585,3.3418,3.5241,3.821,
中债商业银行普通债收益率曲线(AAA),2020-03-16,2.0351,2.2524,2.3925,2.8596,3.145,3.3996,3.6814,4.1389
中债国债收益率曲线,2020-03-16,1.6802,1.7573,1.8954,2.2511,2.5224,2.6871,2.6758,3.2832
中债中短期票据收益率曲线(AAA),2020-03-17,2.2497,2.36,2.6015,3.103,3.3818,3.5677,3.8653,
中债商业银行普通债收益率曲线(AAA),2020-03-17,2.069,2.2579,2.3925,2.8897,3.1687,3.4233,3.7257,4.1832
中债国债收益率曲线,2020-03-17,1.627,1.7622,1.8954,2.2507,2.5508,2.7044,2.7135,3.34
中债国债收益率曲线,2020-03-18,1.6002,1.7673,1.9154,2.2612,2.5443,2.7063,2.7136,3.355
中债商业银行普通债收益率曲线(AAA),2020-03-18,2.0146,2.2168,2.3855,2.8934,3.2001,3.4341,3.7407,4.1982
中债中短期票据收益率曲线(AAA),2020-03-18,2.2488,2.341,2.5299,3.1104,3.4018,3.5785,3.8803,
中债国债收益率曲线,2020-03-19,1.5704,1.7607,1.8853,2.251,2.5546,2.7236,2.7299,3.3701
中债中短期票据收益率曲线(AAA),2020-03-19,2.2397,2.3383,2.5319,3.0885,3.4125,3.5566,3.8584,
中债商业银行普通债收益率曲线(AAA),2020-03-19,1.8752,2.1564,2.3963,2.877,3.2067,3.4122,3.7188,4.1763
中债国债收益率曲线,2020-03-20,1.5168,1.7049,1.8682,2.2429,2.5217,2.6999,2.6815,3.3301
中债中短期票据收益率曲线(AAA),2020-03-20,2.2217,2.3047,2.5092,3.051,3.4324,3.5589,3.8607,
中债商业银行普通债收益率曲线(AAA),2020-03-20,1.8403,2.0531,2.3659,2.8858,3.1964,3.4145,3.7211,4.1786
中债中短期票据收益率曲线(AAA),2020-03-23,2.1585,2.208,2.489,3.0016,3.3937,3.5378,3.8396,
中债商业银行普通债收益率曲线(AAA),2020-03-23,1.7126,2.0215,2.3478,2.8346,3.17,3.3746,3.6812,4.1487
中债国债收益率曲线,2020-03-23,1.516,1.6749,1.8482,2.2032,2.4672,2.6591,2.6315,3.2753
中债中短期票据收益率曲线(AAA),2020-03-24,2.0714,2.1736,2.4526,2.9513,3.3671,3.5394,3.8422,
中债商业银行普通债收益率曲线(AAA),2020-03-24,1.6411,1.9524,2.286,2.7997,3.1252,3.3762,3.6838,4.1513
中债国债收益率曲线,2020-03-24,1.516,1.6348,1.8081,2.1639,2.4497,2.6495,2.6289,3.2704
中债商业银行普通债收益率曲线(AAA),2020-03-25,1.7126,1.9143,2.2803,2.7856,3.1208,3.3628,3.6704,4.1379
中债国债收益率曲线,2020-03-25,1.4522,1.6288,1.7686,2.1265,2.4373,2.6444,2.6289,3.2604
中债中短期票据收益率曲线(AAA),2020-03-25,2.0424,2.1636,2.448,2.9414,3.3617,3.536,3.8388,
中债中短期票据收益率曲线(AAA),2020-03-26,2.025,2.1387,2.4374,2.9095,3.3298,3.5265,3.8293,
中债商业银行普通债收益率曲线(AAA),2020-03-26,1.6614,1.913,2.2822,2.7531,3.0808,3.3533,3.6609,4.1284
中债国债收益率曲线,2020-03-26,1.4003,1.5773,1.7175,2.0824,2.3714,2.5949,2.594,3.2255
中债国债收益率曲线,2020-03-27,1.4026,1.5273,1.7412,2.0713,2.4038,2.6074,2.609,3.2405
中债中短期票据收益率曲线(AAA),2020-03-27,1.9773,2.1388,2.4198,2.8997,3.33,3.5266,3.8295,
中债商业银行普通债收益率曲线(AAA),2020-03-27,1.826,1.9035,2.2703,2.7448,3.0845,3.3535,3.6611,4.1286
中债国债收益率曲线,2020-03-30,1.4097,1.4777,1.7362,2.0454,2.3828,2.6148,2.6142,3.2408
中债中短期票据收益率曲线(AAA),2020-03-30,1.9816,2.1797,2.4295,2.9264,3.3334,3.5316,3.8495,
中债商业银行普通债收益率曲线(AAA),2020-03-30,1.756,1.9267,2.294,2.7267,3.0542,3.3585,3.6811,4.1486
