date,m2_yoy,gdp_yoy,m2_gdp_spread,ma6,q10,q90,signal
2019-11-30,8.2,6.8,1.3999999999999995,1.5,1.3200000000000005,14.299999999999995,正常
2019-11-30,8.2,6.8,1.3999999999999997,1.5,1.3200000000000005,14.299999999999995,正常
2019-12-31,8.7,6.4,2.299999999999999,1.5999999999999996,1.3300000000000003,14.150000000000023,正常
2019-12-31,8.7,6.4,2.299999999999999,1.5999999999999996,1.3300000000000005,14.150000000000025,正常
2020-01-31,8.4,6.4,2.0,1.7166666666666661,1.3400000000000003,13.999999999999991,正常
2020-01-31,8.4,6.4,2.0,1.716666666666666,1.3400000000000003,13.999999999999991,正常
2020-02-29,8.8,6.4,2.4000000000000004,1.8833333333333333,1.35,13.85,正常
2020-02-29,8.8,6.4,2.4000000000000004,1.8833333333333335,1.35,13.85,正常
2020-03-31,10.1,6.4,3.6999999999999993,2.233333333333333,1.36,13.700000000000008,正常
2020-03-31,10.1,6.4,3.6999999999999993,2.233333333333333,1.36,13.700000000000008,正常
2020-04-30,11.1,6.4,4.699999999999999,2.7499999999999996,1.3699999999999999,13.550000000000017,正常
2020-04-30,11.1,6.4,4.699999999999999,2.75,1.37,13.550000000000017,正常
2020-05-31,11.1,6.4,4.699999999999999,3.2999999999999994,1.38,13.400000000000025,正常
2020-05-31,11.1,6.4,4.699999999999999,3.2999999999999994,1.38,13.400000000000023,正常
2020-06-30,11.1,6.4,4.699999999999999,3.6999999999999993,1.3899999999999997,13.249999999999991,正常
2020-06-30,11.1,6.4,4.699999999999999,3.6999999999999993,1.3899999999999997,13.249999999999991,正常
2020-07-31,10.7,6.4,4.299999999999999,4.083333333333333,1.3999999999999997,13.1,正常
2020-07-31,10.7,6.4,4.299999999999999,4.083333333333333,1.3999999999999995,13.1,正常
2020-08-31,10.4,6.4,4.0,4.35,1.3999999999999995,13.08,正常
2020-08-31,10.4,6.4,4.0,4.35,1.3999999999999997,13.08,正常
2020-09-30,10.9,6.4,4.5,4.483333333333333,1.3999999999999995,13.060000000000002,正常
2020-09-30,10.9,6.4,4.5,4.483333333333333,1.3999999999999997,13.060000000000002,正常
2020-10-31,10.5,6.4,4.1,4.383333333333333,1.3999999999999997,13.040000000000004,正常
2020-10-31,10.5,6.4,4.1,4.383333333333333,1.3999999999999995,13.040000000000003,正常
2020-11-30,10.7,6.4,4.299999999999999,4.316666666666666,1.3999999999999995,13.02,正常
2020-11-30,10.7,6.4,4.299999999999999,4.316666666666666,1.3999999999999997,13.02,正常
2020-12-31,10.1,2.3,7.8,4.833333333333333,1.3999999999999995,13.0,正常
2020-12-31,10.1,2.3,7.8,4.833333333333333,1.3999999999999997,13.0,正常
2021-01-31,9.4,2.3,7.1000000000000005,5.3,1.3999999999999997,12.98,正常
2021-01-31,9.4,2.3,7.1000000000000005,5.3,1.3999999999999995,12.98,正常
2021-02-28,10.1,2.3,7.8,5.933333333333333,1.3999999999999997,12.960000000000004,正常
2021-02-28,10.1,2.3,7.8,5.933333333333333,1.3999999999999995,12.960000000000003,正常
2021-03-31,9.4,2.3,7.1000000000000005,6.366666666666666,1.3999999999999995,12.940000000000003,正常
2021-03-31,9.4,2.3,7.1000000000000005,6.366666666666666,1.3999999999999997,12.940000000000005,正常
2021-04-30,8.1,2.3,5.8,6.6499999999999995,1.3999999999999995,12.92,正常
2021-04-30,8.1,2.3,5.8,6.65,1.3999999999999997,12.92,正常
2021-05-31,8.3,2.3,6.000000000000001,6.933333333333334,1.3999999999999997,12.9,正常
2021-05-31,8.3,2.3,6.000000000000001,6.933333333333334,1.3999999999999995,12.9,正常
2021-06-30,8.6,2.3,6.3,6.683333333333334,1.4099999999999997,12.89,正常
2021-06-30,8.6,2.3,6.3,6.683333333333334,1.4099999999999997,12.89,正常
2021-07-31,8.3,2.3,6.000000000000001,6.5,1.4199999999999997,12.88,正常
2021-07-31,8.3,2.3,6.000000000000001,6.5,1.4199999999999995,12.88,正常
2021-08-31,8.2,2.3,5.8999999999999995,6.183333333333334,1.4299999999999997,12.870000000000001,正常
2021-08-31,8.2,2.3,5.9,6.183333333333334,1.4299999999999995,12.87,正常
2021-09-30,8.3,2.3,6.000000000000001,6.0,1.44,12.86,正常
2021-09-30,8.3,2.3,6.000000000000001,6.0,1.44,12.86,正常
2021-10-31,8.7,2.3,6.4,6.1000000000000005,1.4499999999999995,12.85,正常
2021-10-31,8.7,2.3,6.3999999999999995,6.1000000000000005,1.4499999999999997,12.85,正常
2021-11-30,8.5,2.3,6.2,6.133333333333333,1.46,12.84,正常
2021-11-30,8.5,2.3,6.2,6.133333333333333,1.46,12.84,正常
2021-12-31,9.0,13.0,-4.0,4.416666666666667,1.3999999999999997,12.83,紧缩
2021-12-31,9.0,13.0,-4.0,4.416666666666667,1.3999999999999995,12.83,紧缩
2022-01-31,9.8,13.0,-3.1999999999999997,2.8833333333333333,1.38,12.82,紧缩
2022-01-31,9.8,13.0,-3.1999999999999993,2.8833333333333333,1.38,12.82,紧缩
2022-02-28,9.2,13.0,-3.8000000000000007,1.2666666666666668,1.3000000000000007,12.81,紧缩
2022-02-28,9.2,13.0,-3.8000000000000007,1.2666666666666668,1.3000000000000007,12.809999999999999,紧缩
2022-03-31,9.7,13.0,-3.3000000000000007,-0.2833333333333335,1.3000000000000007,12.8,紧缩
2022-03-31,9.7,13.0,-3.3000000000000007,-0.2833333333333335,1.3000000000000007,12.799999999999999,紧缩
2022-04-30,10.5,13.0,-2.5,-1.7666666666666668,1.3000000000000007,12.78,紧缩
2022-04-30,10.5,13.0,-2.5,-1.7666666666666668,1.3000000000000007,12.78,紧缩
2022-05-31,11.1,13.0,-1.9000000000000004,-3.116666666666667,1.3,12.760000000000002,紧缩
2022-05-31,11.1,13.0,-1.9000000000000004,-3.116666666666667,1.3,12.760000000000002,紧缩
2022-06-30,11.4,13.0,-1.5999999999999996,-2.716666666666667,1.2999999999999998,12.740000000000002,紧缩
2022-06-30,11.4,13.0,-1.5999999999999996,-2.716666666666667,1.2999999999999998,12.740000000000002,紧缩
2022-07-31,12.0,13.0,-1.0,-2.35,1.2400000000000002,12.719999999999999,紧缩
2022-07-31,12.0,13.0,-1.0,-2.35,1.2400000000000002,12.72,紧缩
2022-08-31,12.2,13.0,-0.8000000000000007,-1.8500000000000003,1.1999999999999995,12.7,紧缩
2022-08-31,12.2,13.0,-0.8000000000000007,-1.8500000000000003,1.1999999999999997,12.7,紧缩
