date,social_financing,sf_12m_sum,credit_impulse,ma6,signal
2012-03-31,10114.42,76883.42,1.37047096672116,-3.454198149350374,信贷扩张
2012-04-30,6817.79,76271.21,0.975997564010922,-2.735403913199073,信贷扩张
2012-04-30,6817.79,76271.21,0.975997564010922,-2.735403913199073,信贷扩张
2012-05-31,7932.32,78687.53,5.540096838660347,-0.6802347323606872,信贷扩张
2012-05-31,7932.32,78687.53,5.540096838660347,-0.6802347323606872,信贷扩张
2012-06-30,9198.17,81546.7,8.919178832360508,1.7995822557472263,信贷扩张
2012-06-30,9198.17,81546.7,8.919178832360508,1.7995822557472263,信贷扩张
2012-07-31,5401.21,82031.91,10.17205672996857,4.362799609148319,信贷扩张
2012-07-31,5401.21,82031.91,10.17205672996857,4.362799609148319,信贷扩张
2012-08-31,7039.45,83587.36,12.203823024054984,6.5302706592960815,信贷扩张
2012-08-31,7039.45,83587.36,12.203823024054984,6.5302706592960815,信贷扩张
2012-09-30,6226.23,85120.59,16.308792785406844,9.019990962410363,信贷扩张
2012-09-30,6226.23,85120.59,16.308792785406844,9.019990962410365,信贷扩张
2012-10-31,5053.71,84306.3,15.210314857330287,11.392377177963589,信贷扩张
2012-10-31,5053.71,84306.3,15.210314857330289,11.392377177963589,信贷扩张
2012-11-30,5220.37,83897.67,14.745978992286224,12.926690870234568,信贷扩张
2012-11-30,5220.37,83897.67,14.745978992286224,12.926690870234568,信贷扩张
2012-12-31,4546.08,82037.75,9.800910125142215,13.073646085698188,信贷扩张
2012-12-31,4546.08,82037.75,9.800910125142217,13.073646085698188,信贷扩张
2013-01-31,10721.0,85377.75,18.85588796235713,14.520951291096281,信贷扩张
2013-01-31,10721.0,85377.75,18.85588796235713,14.52095129109628,信贷扩张
2013-02-28,6200.0,84470.75,14.82776667618233,14.958275233117504,信贷扩张
2013-02-28,6200.0,84470.75,14.82776667618233,14.958275233117504,信贷扩张
2013-03-31,10625.0,84981.33,10.532713034878016,13.995595274696035,信贷扩张
2013-03-31,10625.0,84981.33,10.532713034878016,13.995595274696036,信贷扩张
2013-04-30,7923.0,86086.54,12.868984247135964,13.605373506330317,信贷扩张
2013-04-30,7923.0,86086.54,12.868984247135963,13.605373506330315,信贷扩张
2013-05-31,6694.0,84848.22,7.829309167539011,12.452595202205778,信贷扩张
2013-05-31,6694.0,84848.22,7.829309167539011,12.452595202205778,信贷扩张
2013-06-30,8628.0,84278.05,3.3494304490555797,11.37734858952467,信贷扩张
2013-06-30,8628.0,84278.05,3.3494304490555793,11.37734858952467,信贷扩张
2013-07-31,6997.0,85873.84,4.683457937283175,9.015276918679012,信贷扩张
2013-07-31,6997.0,85873.84,4.683457937283175,9.015276918679012,信贷扩张
2013-08-31,7128.0,85962.39,2.841374581037126,7.017544902821478,信贷扩张
2013-08-31,7128.0,85962.39,2.841374581037126,7.017544902821478,信贷扩张
2013-09-30,7870.0,87606.16,2.9200572975351946,5.748768946597675,信贷扩张
2013-09-30,7870.0,87606.16,2.9200572975351946,5.748768946597675,信贷扩张
2013-10-31,5060.0,87612.45,3.921593048206362,4.257537080109408,信贷扩张
2013-10-31,5060.0,87612.45,3.921593048206362,4.257537080109408,信贷扩张
2013-11-30,6246.0,88638.08,5.650228427082671,3.8943569567000176,信贷扩张
2013-11-30,6246.0,88638.08,5.650228427082671,3.8943569567000176,信贷扩张
2013-12-31,4825.0,88917.0,8.385468884751223,4.733696695982625,信贷扩张
2013-12-31,4825.0,88917.0,8.385468884751223,4.733696695982625,信贷扩张
2014-01-31,13190.0,91386.0,7.037255022532207,5.125996210190797,信贷扩张
2014-01-31,13190.0,91386.0,7.037255022532207,5.125996210190797,信贷扩张
2014-02-28,6448.0,91634.0,8.480154372963433,6.0657928421785146,信贷扩张
2014-02-28,6448.0,91634.0,8.480154372963433,6.0657928421785146,信贷扩张
2014-03-31,10497.0,91506.0,7.677768752265934,6.858744751300304,信贷扩张
2014-03-31,10497.0,91506.0,7.677768752265934,6.858744751300304,信贷扩张
2014-04-30,7745.0,91328.0,6.0885941054199755,7.219911594169241,信贷扩张
2014-04-30,7745.0,91328.0,6.088594105419976,7.219911594169241,信贷扩张
2014-05-31,8708.0,93342.0,10.010557675812182,7.946633135624158,信贷扩张
2014-05-31,8708.0,93342.0,10.010557675812182,7.946633135624158,信贷扩张
2014-06-30,10793.0,95507.0,13.323694603755065,8.769670755458133,信贷扩张
2014-06-30,10793.0,95507.0,13.323694603755063,8.769670755458133,信贷扩张
2014-07-31,3852.0,92362.0,7.555455770930952,8.856037546857925,信贷扩张
2014-07-31,3852.0,92362.0,7.555455770930952,8.856037546857925,信贷扩张
2014-08-31,7025.0,92259.0,7.324842876053128,8.663485630706207,信贷扩张
2014-08-31,7025.0,92259.0,7.324842876053128,8.663485630706207,信贷扩张
2014-09-30,8572.0,92961.0,6.112401228406772,8.402591043396347,信贷扩张
2014-09-30,8572.0,92961.0,6.112401228406772,8.402591043396347,信贷扩张
2014-10-31,5483.0,93384.0,6.587591147148619,8.485757217017786,信贷扩张
2014-10-31,5483.0,93384.0,6.587591147148619,8.485757217017786,信贷扩张
2014-11-30,8527.0,95665.0,7.927653667588475,8.138606548980503,信贷扩张
2014-11-30,8527.0,95665.0,7.927653667588475,8.138606548980503,信贷扩张
2014-12-31,6973.0,97813.0,10.004835970624292,7.585463443458707,信贷扩张
2014-12-31,6973.0,97813.0,10.004835970624292,7.585463443458707,信贷扩张
2015-01-31,14707.88398,99330.88398,8.6937648874007,7.7751816295369975,信贷扩张
2015-01-31,14707.88398,99330.88398,8.6937648874007,7.775181629536997,信贷扩张
2015-02-28,11436.98154,104319.86552,13.844059541218323,8.861717740397863,信贷扩张
2015-02-28,11436.98154,104319.86552,13.844059541218323,8.861717740397863,信贷扩张
2015-03-31,9919.861996,103742.727516,13.372595803553857,10.071750169589045,信贷扩张
2015-03-31,9919.861996,103742.727516,13.372595803553855,10.071750169589043,信贷扩张
2015-04-30,8045.060387,104042.787903,13.922113593859509,11.294170577374194,信贷扩张
2015-04-30,8045.060387,104042.787903,13.922113593859509,11.294170577374194,信贷扩张
2015-05-31,8510.181814,103844.969717,11.25213699835015,11.848251132501138,信贷扩张
2015-05-31,8510.181814,103844.969717,11.25213699835015,11.848251132501138,信贷扩张
2015-06-30,13239.5588,106291.528517,11.291872341294361,12.062757194279483,信贷扩张
2015-06-30,13239.5588,106291.528517,11.29187234129436,12.062757194279484,信贷扩张
2015-07-31,5890.468935,108329.997452,17.28849250990667,13.495211798030477,信贷扩张
2015-07-31,5890.468935,108329.997452,17.28849250990667,13.495211798030477,信贷扩张
2015-08-31,7755.919617,109060.917069,18.21168348778981,14.223149122459056,信贷扩张
2015-08-31,7755.919617,109060.917069,18.21168348778981,14.223149122459057,信贷扩张
2015-09-30,10417.24486,110906.161929,19.30396825442926,15.211711197604961,信贷扩张
2015-09-30,10417.24486,110906.161929,19.30396825442926,15.21171119760496,信贷扩张
2015-10-31,5573.755665,110996.917594,18.860744446586143,16.034816339726067,信贷扩张
2015-10-31,5573.755665,110996.917594,18.860744446586143,16.034816339726067,信贷扩张
