date,m1_yoy,m2_yoy,m1_ma6,m1_ma12,trend
2025-07-31,5.6,8.8,2.6166666666666667,-0.8166666666666664,上行
2025-08-31,6.0,8.8,3.6,0.2916666666666668,上行
2025-09-30,7.2,8.4,4.533333333333333,1.5083333333333335,上行
2025-10-31,6.2,8.2,5.316666666666666,2.5333333333333337,上行
2025-11-30,4.9,8.0,5.75,3.25,上行
2025-12-31,3.8,8.5,5.616666666666667,3.6833333333333336,上行
2026-01-31,4.9,9.0,5.5,4.058333333333334,上行
2026-02-28,5.9,9.0,5.483333333333333,4.541666666666667,上行
2026-03-31,5.1,8.5,5.133333333333334,4.833333333333334,上行
2026-04-30,5.0,8.6,4.933333333333334,5.125000000000001,下行
2026-05-31,5.5,8.6,5.033333333333334,5.391666666666667,下行
2026-06-30,4.0,8.0,5.066666666666667,5.341666666666668,下行
