date,close,pe_ttm_index,bond_yield_10y_pct,known_date,cpi_chain_index,cpi_known,earnings,deflated_earnings,real_earnings_mean6y,shiller_pe,bond_yield_10y_decimal,shiller_erp,shiller_erp_pct,erp_z6y,erp_mean6y,erp_std6y,signal_score,signal_text,effective_date
2022-12-29,4189.307,11.4,2.8376,2022-12-20,138.94637280186478,138.94637280186478,367.48307017543857,2.644783471242271,338.91624308209924,12.360891770493218,0.028376000000000002,0.052524311932761025,5.252431193276102,1.5984962198130785,0.03772400670588346,0.00925889285406521,1,看多：席勒股权风险溢价高于1.5个标准差,2022-12-30
2022-12-30,4202.681,11.43,2.8353,2022-12-20,138.94637280186478,138.94637280186478,367.6886264216973,2.6462628639181185,338.9552913505861,12.398924304306284,0.028353000000000003,0.05229915783700598,5.229915783700598,1.572208885759096,0.03773109859427544,0.009265982004482037,1,看多：席勒股权风险溢价高于1.5个标准差,2023-01-03
2023-01-03,4232.513,11.51,2.8228,2022-12-20,138.94637280186478,138.94637280186478,367.7248479582971,2.646523551087344,338.99445196193875,12.485493421807426,0.028228,0.05186494997131462,5.186494997131462,1.5235474155064799,0.03773777131383117,0.009272555953099159,1,看多：席勒股权风险溢价高于1.5个标准差,2023-01-04
2023-01-04,4235.972,11.54,2.8103,2022-12-20,138.94637280186478,138.94637280186478,367.0686308492201,2.641800742597677,339.03315725019525,12.494270573287888,0.028103,0.051933685145745825,5.1933685145745825,1.529119552757034,0.03774461243903296,0.009279243523588247,1,看多：席勒股权风险溢价高于1.5个标准差,2023-01-05
2023-01-05,4307.761,11.71,2.8304,2022-12-20,138.94637280186478,138.94637280186478,367.8702818104185,2.647570241613974,339.0724629078111,12.704543928626897,0.028304,0.050407995142676465,5.040799514267647,1.3632551936486919,0.037750750238210756,0.00928457486421831,0,中性,2023-01-06
2023-01-06,4318.153,11.75,2.8328,2022-12-20,138.94637280186478,138.94637280186478,367.5023829787234,2.644922465898233,339.1114644734414,12.73372755682281,0.028328000000000002,0.05020360007842273,5.020360007842273,1.3398973146053572,0.03775647945466402,0.009289607858811768,0,中性,2023-01-09
2023-01-09,4349.199,11.81,2.8428,2022-12-20,138.94637280186478,138.94637280186478,368.26409822184587,2.650404546702233,339.1508928540147,12.823787557805675,0.028428,0.049552081586060975,4.955208158606098,1.26847257915739,0.037762488224249866,0.009294322601472865,0,中性,2023-01-10
2023-01-10,4354.232,11.81,2.8602,2022-12-20,138.94637280186478,138.94637280186478,368.6902624894157,2.653471659999084,339.1904728749517,12.837129424933057,0.028602,0.049297035438385386,4.929703543838539,1.239733903976306,0.03776881831055515,0.009298944790373798,0,中性,2023-01-11
2023-01-11,4341.985,11.81,2.8603,2022-12-20,138.94637280186478,138.94637280186478,367.65325994919556,2.646008330663392,339.2295207675685,12.79954937346098,0.028603,0.04952475050295395,4.952475050295395,1.2628111328791047,0.03777576504435657,0.009303834241475736,0,中性,2023-01-12
2023-01-12,4348.535,11.83,2.8778,2022-12-20,138.94637280186478,138.94637280186478,367.5853761622992,2.645519769605428,339.2682993138365,12.817392632305543,0.028778,0.049240987846214085,4.924098784621409,1.2309713460140872,0.037782516689851546,0.009308479188784797,0,中性,2023-01-13
2023-01-13,4402.001,11.97,2.901,2022-12-20,138.94637280186478,138.94637280186478,367.752798663325,2.6467247129058515,339.30716596549644,12.97349847438127,0.029009999999999998,0.048070211014376515,4.807021101437652,1.1041000409088706,0.03778858943437639,0.009312219182182549,0,中性,2023-01-16
2023-01-16,4465.952,12.08,2.9167,2022-12-20,138.94637280186478,138.94637280186478,369.6980132450331,2.660724463618898,339.3472540529046,13.16041885314255,0.029167000000000002,0.0468184235004999,4.68184235004999,0.9687780633194303,0.03779413966855476,0.009315119916138743,0,中性,2023-01-17
2023-01-17,4466.546,12.06,2.9017,2022-12-20,138.94637280186478,138.94637280186478,370.36036484245443,2.6654914221516393,339.3877629488321,13.160598252546308,0.029017,0.04696738770110777,4.696738770110777,0.9838887418477111,0.037799436515629295,0.009318077131629089,0,中性,2023-01-18
2023-01-18,4464.369,12.06,2.9222,2022-12-20,138.94637280186478,138.94637280186478,370.17985074626864,2.6641922583624327,339.42843636661246,13.15260750627885,0.029222,0.04680855132015577,4.6808551320155765,0.9659611700006585,0.037804871464626626,0.009320954232066081,0,中性,2023-01-19
