date,shibor_1w,ma60,historical_q10,signal_score
2007-05-25,2.3541,2.3698716666666666,,0
2007-05-25,2.3541,2.3698716666666666,,0
2007-05-28,2.3385,2.3756483333333334,,0
2007-05-28,2.3385,2.3756483333333334,,0
2007-05-29,2.3078,2.384805,,0
2007-05-29,2.3078,2.384805,,0
2007-05-30,2.3211,2.3954266666666664,,0
2007-05-30,2.3211,2.3954266666666664,,0
2007-05-31,2.4683,2.4087716666666665,,0
2007-05-31,2.4683,2.4087716666666665,,0
2007-06-01,2.8158,2.428793333333333,,0
2007-06-01,2.8158,2.428793333333333,,0
2007-06-04,2.8437,2.4503583333333334,,0
2007-06-04,2.8437,2.4503583333333334,,0
2007-06-05,2.8228,2.4718783333333336,,0
2007-06-05,2.8228,2.4718783333333336,,0
2007-06-06,2.7825,2.493326666666667,,0
2007-06-06,2.7825,2.493326666666667,,0
2007-06-07,2.4934,2.510266666666667,,0
2007-06-07,2.4934,2.510266666666667,,0
2007-06-08,2.3407,2.524936666666667,,0
2007-06-08,2.3407,2.524936666666667,,0
2007-06-11,2.2923,2.53911,,0
2007-06-11,2.2923,2.53911,,0
2007-06-12,2.2733,2.552955,,0
2007-06-12,2.2733,2.552955,,0
2007-06-13,2.2666,2.5654583333333334,,0
2007-06-13,2.2666,2.5654583333333334,,0
2007-06-14,3.2694,2.592203333333333,,0
2007-06-14,3.2694,2.592203333333333,,0
2007-06-15,4.2764,2.635088333333333,,0
2007-06-15,4.2764,2.6350883333333335,,0
2007-06-18,4.3086,2.677591666666667,,0
2007-06-18,4.3086,2.677591666666667,,0
2007-06-19,4.0318,2.7146733333333333,,0
2007-06-19,4.0318,2.7146733333333333,,0
2007-06-20,3.0003,2.733595,,0
2007-06-20,3.0003,2.7335949999999998,,0
2007-06-21,2.3143,2.739688333333333,,0
2007-06-21,2.3143,2.739688333333333,,0
2007-06-22,2.2034,2.7437750000000003,,0
2007-06-22,2.2034,2.7437750000000003,,0
2007-06-25,2.0187,2.7446566666666667,,0
2007-06-25,2.0187,2.7446566666666667,,0
2007-06-26,1.9597,2.744436666666666,,0
2007-06-26,1.9597,2.7444366666666666,,0
2007-06-27,1.8487,2.742408333333333,,0
2007-06-27,1.8487,2.742408333333333,,0
2007-06-28,1.7813,2.7396933333333333,,0
2007-06-28,1.7813,2.7396933333333333,,0
2007-06-29,2.8411,2.754585,,0
2007-06-29,2.8411,2.754585,,0
2007-07-02,3.5784,2.7816366666666665,,0
2007-07-02,3.5784,2.7816366666666665,,0
2007-07-03,3.9778,2.814728333333333,,0
2007-07-03,3.9778,2.814728333333333,,0
2007-07-04,2.4292,2.818791666666667,,0
2007-07-04,2.4292,2.818791666666667,,0
2007-07-05,2.4034,2.820583333333333,,0
2007-07-05,2.4034,2.820583333333333,,0
2007-07-06,2.3688,2.8204783333333334,,0
2007-07-06,2.3688,2.8204783333333334,,0
2007-07-09,2.7629,2.827058333333333,,0
2007-07-09,2.7629,2.827058333333333,,0
2007-07-10,3.7785,2.850235,,0
2007-07-10,3.7785,2.850235,,0
2007-07-11,3.9055,2.8738250000000005,,0
2007-07-11,3.9055,2.8738250000000005,,0
2007-07-12,3.2488,2.8786183333333333,,0
2007-07-12,3.2488,2.8786183333333333,,0
2007-07-13,3.1911,2.8825550000000004,,0
2007-07-13,3.1911,2.8825550000000004,,0
2007-07-16,2.8813,2.8742883333333333,,0
2007-07-16,2.8813,2.8742883333333333,,0
2007-07-17,2.8011,2.853133333333333,,0
2007-07-17,2.8011,2.853133333333333,,0
2007-07-18,2.2269,2.82006,,0
2007-07-18,2.2269,2.82006,,0
2007-07-19,2.1786,2.7818416666666663,,0
2007-07-19,2.1786,2.7818416666666663,,0
2007-07-20,2.1186,2.7385883333333334,,0
2007-07-20,2.1186,2.7385883333333334,,0
2007-07-23,2.1548,2.6957466666666665,,0
2007-07-23,2.1548,2.6957466666666665,,0
2007-07-24,2.1526,2.659091666666667,,0
2007-07-24,2.1526,2.659091666666667,,0
2007-07-25,2.1492,2.6337116666666662,,0
2007-07-25,2.1492,2.6337116666666662,,0
2007-07-26,2.1224,2.631613333333333,,0
2007-07-26,2.1224,2.631613333333333,,0
2007-07-27,2.1271,2.632283333333333,,0
2007-07-27,2.1271,2.6322833333333335,,0
2007-07-30,2.1021,2.636553333333333,,0
2007-07-30,2.1021,2.6365533333333335,,0
2007-07-31,2.6896,2.651418333333333,,0
2007-07-31,2.6896,2.651418333333333,,0
2007-08-01,2.715,2.66674,,0
2007-08-01,2.715,2.66674,,0
2007-08-02,2.1912,2.67206,,0
2007-08-02,2.1912,2.67206,,0
2007-08-03,2.0342,2.655605,,0
2007-08-03,2.0342,2.655605,,0
2007-08-06,2.0067,2.635741666666666,,0
2007-08-06,2.0067,2.6357416666666666,,0
2007-08-07,2.0513,2.619013333333333,,0
2007-08-07,2.0513,2.619013333333333,,0
2007-08-08,2.147,2.604835,,0
2007-08-08,2.147,2.604835,,0
2007-08-09,2.16,2.5929483333333336,,0
2007-08-09,2.16,2.5929483333333336,,0
2007-08-10,2.2593,2.58763,,0
2007-08-10,2.2593,2.58763,,0
2007-08-13,2.1831,2.582111666666667,,0
2007-08-13,2.1831,2.582111666666667,,0
2007-08-14,2.1284,2.576268333333333,,0
2007-08-14,2.1284,2.576268333333333,,0
2007-08-15,2.0857,2.5709866666666668,,0
2007-08-15,2.0857,2.5709866666666668,,0
2007-08-16,1.9783,2.5643916666666664,,0
2007-08-16,1.9783,2.5643916666666664,,0
2007-08-17,1.974,2.558056666666667,,0
2007-08-17,1.974,2.558056666666667,,0
2007-08-20,1.9747,2.5519933333333333,,0
2007-08-20,1.9747,2.5519933333333333,,0
2007-08-21,1.9643,2.5462683333333334,,0
2007-08-21,1.9643,2.5462683333333334,,0
2007-08-22,2.1983,2.5442216666666666,,0
2007-08-22,2.1983,2.5442216666666666,,0
2007-08-23,2.3812,2.54277,,0
2007-08-23,2.3812,2.54277,,0
2007-08-24,2.4498,2.5366700000000004,,0
2007-08-24,2.4498,2.5366700000000004,,0
2007-08-27,2.3673,2.5287300000000004,,0
2007-08-27,2.3673,2.5287300000000004,,0
2007-08-28,2.4415,2.522375,,0
2007-08-28,2.4415,2.522375,,0
2007-08-29,2.443,2.5167166666666665,,0
2007-08-29,2.443,2.5167166666666665,,0
2007-08-30,2.6883,2.519965,,0
2007-08-30,2.6883,2.519965,,0
2007-08-31,2.4961,2.522555,,0
2007-08-31,2.4961,2.5225549999999997,,0
2007-09-03,2.4963,2.525955,,0
2007-09-03,2.4963,2.525955,,0
2007-09-04,2.2348,2.525313333333333,,0
2007-09-04,2.2348,2.5253133333333335,,0
2007-09-05,2.3683,2.5270083333333333,,0
2007-09-05,2.3683,2.5270083333333333,,0
2007-09-06,2.4385,2.51316,,0
2007-09-06,2.4385,2.51316,,0
2007-09-07,2.8066,2.4886633333333337,,0
2007-09-07,2.8066,2.4886633333333337,,0
2007-09-10,3.61,2.47702,,0
2007-09-10,3.61,2.47702,,0
2007-09-11,3.8512,2.47401,,0
2007-09-11,3.8512,2.47401,,0
2007-09-12,3.891,2.488855,,0
2007-09-12,3.891,2.488855,,0
2007-09-13,4.0208,2.5172966666666667,,0
2007-09-13,4.0208,2.5172966666666667,,0
2007-09-14,5.7509,2.5764216666666666,,0
2007-09-14,5.7509,2.5764216666666666,,0
2007-09-17,5.9463,2.641881666666667,,0
2007-09-17,5.9463,2.641881666666667,,0
2007-09-18,5.9535,2.708445,,0
2007-09-18,5.9535,2.7084449999999998,,0
2007-09-19,6.4762,2.78557,,0
2007-09-19,6.4762,2.78557,,0
2007-09-20,6.7893,2.8690366666666667,,0
2007-09-20,6.7893,2.8690366666666667,,0
2007-09-21,6.9608,2.937698333333333,,0
2007-09-21,6.9608,2.937698333333333,,0
2007-09-24,6.9561,2.993993333333333,,0
2007-09-24,6.9561,2.9939933333333335,,0
