date,electricity_consumption_yoy_pct,available_date,ma6,ma12,signal_score,signal_text,effective_date
2015-08-31,1.0,2015-09-25,0.9833333333333334,2.3000000000000003,-1.0,代理看空：用电量趋势下行,2015-09-28
2015-09-30,0.8,2015-10-25,0.9833333333333334,2.033333333333333,-1.0,代理看空：用电量趋势下行,2015-10-26
2015-10-31,0.7,2015-11-25,0.9500000000000002,1.7666666666666668,-1.0,代理看空：用电量趋势下行,2015-11-26
2015-11-30,0.7,2015-12-25,0.8833333333333333,1.5083333333333335,-1.0,代理看空：用电量趋势下行,2015-12-28
2015-12-31,0.5,2016-01-25,0.75,1.2416666666666667,-1.0,代理看空：用电量趋势下行,2016-01-26
2016-02-29,2.0,2016-03-25,0.9499999999999998,1.0916666666666668,-1.0,代理看空：用电量趋势下行,2016-03-28
2016-03-31,3.2,2016-04-25,1.3166666666666667,1.1500000000000001,1.0,代理看多：用电量趋势上行,2016-04-26
2016-04-30,2.9,2016-05-25,1.6666666666666667,1.325,1.0,代理看多：用电量趋势上行,2016-05-26
2016-05-31,2.7,2016-06-25,2.0,1.4749999999999999,1.0,代理看多：用电量趋势上行,2016-06-27
2016-06-30,2.7,2016-07-25,2.3333333333333335,1.6083333333333334,1.0,代理看多：用电量趋势上行,2016-07-26
2016-07-31,3.6,2016-08-25,2.85,1.8,1.0,代理看多：用电量趋势上行,2016-08-26
2016-08-31,4.2,2016-09-25,3.216666666666667,2.0833333333333335,1.0,代理看多：用电量趋势上行,2016-09-26
2016-09-30,4.5,2016-10-25,3.4333333333333336,2.375,1.0,代理看多：用电量趋势上行,2016-10-26
2016-10-31,4.8,2016-11-25,3.75,2.7083333333333335,1.0,代理看多：用电量趋势上行,2016-11-28
2016-11-30,5.0,2016-12-25,4.133333333333334,3.0666666666666664,1.0,代理看多：用电量趋势上行,2016-12-26
2016-12-31,5.0,2017-01-25,4.516666666666667,3.4249999999999994,1.0,代理看多：用电量趋势上行,2017-01-26
2017-02-28,6.3,2017-03-25,4.966666666666666,3.908333333333333,1.0,代理看多：用电量趋势上行,2017-03-27
2017-03-31,6.9,2017-04-25,5.416666666666667,4.316666666666666,1.0,代理看多：用电量趋势上行,2017-04-26
2017-04-30,6.7,2017-05-25,5.783333333333334,4.608333333333333,1.0,代理看多：用电量趋势上行,2017-05-26
2017-05-31,6.4,2017-06-25,6.05,4.9,1.0,代理看多：用电量趋势上行,2017-06-26
2017-06-30,6.3,2017-07-25,6.266666666666667,5.2,1.0,代理看多：用电量趋势上行,2017-07-26
2017-07-31,6.9,2017-08-25,6.583333333333333,5.55,1.0,代理看多：用电量趋势上行,2017-08-28
2017-08-31,6.8,2017-09-25,6.666666666666667,5.816666666666667,1.0,代理看多：用电量趋势上行,2017-09-26
2017-09-30,6.9,2017-10-25,6.666666666666667,6.041666666666667,1.0,代理看多：用电量趋势上行,2017-10-26
2017-10-31,6.7,2017-11-25,6.666666666666667,6.2250000000000005,1.0,代理看多：用电量趋势上行,2017-11-27
2017-11-30,6.5,2017-12-25,6.683333333333334,6.366666666666667,1.0,代理看多：用电量趋势上行,2017-12-26
2017-12-31,6.6,2018-01-25,6.733333333333333,6.5,1.0,代理看多：用电量趋势上行,2018-01-26
2018-02-28,13.3,2018-03-25,7.8,7.191666666666667,1.0,代理看多：用电量趋势上行,2018-03-26
2018-03-31,9.8,2018-04-25,8.3,7.483333333333334,1.0,代理看多：用电量趋势上行,2018-04-26
2018-04-30,9.3,2018-05-25,8.700000000000001,7.683333333333334,1.0,代理看多：用电量趋势上行,2018-05-28
2018-05-31,9.8,2018-06-25,9.216666666666667,7.941666666666666,1.0,代理看多：用电量趋势上行,2018-06-26
2018-06-30,9.4,2018-07-25,9.700000000000001,8.191666666666668,1.0,代理看多：用电量趋势上行,2018-07-26
2018-07-31,9.0,2018-08-25,10.1,8.416666666666666,1.0,代理看多：用电量趋势上行,2018-08-27
2018-08-31,9.0,2018-09-25,9.383333333333333,8.591666666666667,1.0,代理看多：用电量趋势上行,2018-09-26
2018-09-30,8.9,2018-10-25,9.233333333333334,8.766666666666667,1.0,代理看多：用电量趋势上行,2018-10-26
2018-10-31,8.7,2018-11-25,9.133333333333335,8.916666666666666,1.0,代理看多：用电量趋势上行,2018-11-26
2018-11-30,8.5,2018-12-25,8.916666666666666,9.066666666666666,-1.0,代理看空：用电量趋势下行,2018-12-26
2018-12-31,8.5,2019-01-25,8.766666666666667,9.233333333333333,-1.0,代理看空：用电量趋势下行,2019-01-28
2019-02-28,4.5,2019-03-25,8.016666666666667,9.058333333333334,-1.0,代理看空：用电量趋势下行,2019-03-26
2019-03-31,5.5,2019-04-25,7.433333333333334,8.408333333333333,-1.0,代理看空：用电量趋势下行,2019-04-26
2019-04-30,5.6,2019-05-25,6.883333333333334,8.058333333333334,-1.0,代理看空：用电量趋势下行,2019-05-27
2019-05-31,4.9,2019-06-25,6.25,7.691666666666666,-1.0,代理看空：用电量趋势下行,2019-06-26
2019-06-30,5.0,2019-07-25,5.666666666666667,7.291666666666667,-1.0,代理看空：用电量趋势下行,2019-07-26
2019-07-31,4.6,2019-08-25,5.016666666666667,6.891666666666667,-1.0,代理看空：用电量趋势下行,2019-08-26
2019-08-31,4.4,2019-09-25,5.0,6.508333333333333,-1.0,代理看空：用电量趋势下行,2019-09-26
2019-09-30,4.4,2019-10-25,4.816666666666666,6.125,-1.0,代理看空：用电量趋势下行,2019-10-28
2019-10-31,4.4,2019-11-25,4.616666666666666,5.75,-1.0,代理看空：用电量趋势下行,2019-11-26
2019-11-30,4.5,2019-12-25,4.55,5.400000000000001,-1.0,代理看空：用电量趋势下行,2019-12-26
2019-12-31,4.5,2020-01-25,4.466666666666667,5.066666666666667,-1.0,代理看空：用电量趋势下行,2020-02-03
2020-02-29,-7.8,2020-03-25,2.4000000000000004,3.7083333333333335,-1.0,代理看空：用电量趋势下行,2020-03-26
2020-03-31,-6.5,2020-04-25,0.5833333333333335,2.7916666666666665,-1.0,代理看空：用电量趋势下行,2020-04-27
2020-04-30,-4.7,2020-05-25,-0.9333333333333332,1.9416666666666667,-1.0,代理看空：用电量趋势下行,2020-05-26
2020-05-31,-2.8,2020-06-25,-2.1333333333333333,1.241666666666667,-1.0,代理看空：用电量趋势下行,2020-06-29
2020-06-30,-1.3,2020-07-25,-3.1,0.7250000000000001,-1.0,代理看空：用电量趋势下行,2020-07-27
2020-07-31,-0.7,2020-08-25,-3.966666666666667,0.25000000000000006,-1.0,代理看空：用电量趋势下行,2020-08-26
2020-08-31,0.5,2020-09-25,-2.5833333333333335,-0.09166666666666656,-1.0,代理看空：用电量趋势下行,2020-09-28
2020-09-30,1.3,2020-10-25,-1.2833333333333332,-0.3499999999999999,-1.0,代理看空：用电量趋势下行,2020-10-26
2020-10-31,1.8,2020-11-25,-0.19999999999999996,-0.5666666666666665,1.0,代理看多：用电量趋势上行,2020-11-26
