date,social_financing_100m,available_date,sf_for_stl,social_financing_sa_100m,seasonal_component,sa_mom_pct,signal_score,signal_text,effective_date
2017-08-31,11466.15297,2017-09-20,11466.15297,13545.825312775522,-2079.6723427755223,7.322903162405114,1,看多事件：实时递归季调社融环比超过5%,2017-09-21
2017-09-30,11884.84372,2017-10-20,11884.84372,12449.631605562723,-564.7878855627224,-8.09248371288932,0,未触发,2017-10-23
2017-10-31,6635.249415,2017-11-20,6635.249415,12420.656413256398,-5785.406998256399,-0.23273935506153975,0,未触发,2017-11-21
2017-11-30,11428.46132,2017-12-20,11428.46132,13085.105864608275,-1656.6445446082753,5.3495518211317705,1,看多事件：实时递归季调社融环比超过5%,2017-12-21
2017-12-31,5769.490608,2018-01-20,5769.490608,6216.37717697581,-446.88656897580944,-52.49272538337306,0,未触发,2018-01-22
2018-01-31,26850.25463,2018-02-20,26850.25463,13027.531576490748,13822.723053509251,109.5679075706999,1,看多事件：实时递归季调社融环比超过5%,2018-02-22
2018-02-28,10199.48584,2018-03-20,10199.48584,12417.090365796086,-2217.604525796087,-4.685778016429865,0,未触发,2018-03-21
2018-03-31,11424.56835,2018-04-20,11424.56835,12642.707067582607,-1218.138717582607,1.8169852609593695,0,未触发,2018-04-23
2018-04-30,10987.35054,2018-05-20,10987.35054,12562.956778030955,-1575.6062380309554,-0.6308007385233294,0,未触发,2018-05-21
2018-05-31,11396.18357,2018-06-20,11396.18357,12334.536461798541,-938.3528917985429,-1.8182050632527536,0,未触发,2018-06-21
2018-06-30,16787.34188,2018-07-20,16787.34188,13326.671014449023,3460.670865550978,8.043549554725749,1,看多事件：实时递归季调社融环比超过5%,2018-07-23
2018-07-31,12861.15205,2018-08-20,12861.15205,13952.460423567896,-1091.3083735678958,4.695766920638933,0,未触发,2018-08-21
2018-08-31,13139.99871,2018-09-20,13139.99871,13905.75617589824,-765.7574658982401,-0.33473843502731526,0,未触发,2018-09-21
2018-09-30,14340.99924,2018-10-20,14340.99924,14132.203349966714,208.7958900332845,1.6284420005936662,0,未触发,2018-10-22
2018-10-31,7141.282611,2018-11-20,7141.282611,14020.288543924353,-6879.005932924353,-0.791913357534757,0,未触发,2018-11-21
2018-11-30,12302.32894,2018-12-20,12302.32894,14111.52164281252,-1809.1927028125208,0.6507219776707318,0,未触发,2018-12-21
2018-12-31,9281.464384,2019-01-20,9281.464384,13388.903621870542,-4107.439237870542,-5.12076613162431,0,未触发,2019-01-21
2019-01-31,35668.35953,2019-02-20,35668.35953,18820.15956519974,16848.19996480026,40.565352449451765,1,看多事件：实时递归季调社融环比超过5%,2019-02-21
2019-02-28,7640.641862,2019-03-20,7640.641862,10117.261741817905,-2476.619879817905,-46.242423148602406,0,未触发,2019-03-21
2019-03-31,19584.39553,2019-04-20,19584.39553,16170.386529245447,3414.0090007545546,59.82967468764819,1,看多事件：实时递归季调社融环比超过5%,2019-04-22
2019-04-30,8732.827504,2019-05-20,8732.827504,12682.869043913555,-3950.0415399135545,-21.567310583605625,0,未触发,2019-05-21
2019-05-31,11855.45876,2019-06-20,11855.45876,13688.777484798899,-1833.3187247988992,7.9312373044494455,1,看多事件：实时递归季调社融环比超过5%,2019-06-21
2019-06-30,16736.89983,2019-07-20,16736.89983,13662.6060256362,3074.2938043637996,-0.19118916347177217,0,未触发,2019-07-22
2019-07-31,8086.072901,2019-08-20,8086.072901,11874.743989003651,-3788.6710880036517,-13.085805396699913,0,未触发,2019-08-21
2019-08-31,13045.18199,2019-09-20,13045.18199,12169.55141807232,875.6305719276783,2.4826423992101887,0,未触发,2019-09-23
2019-09-30,17612.4407,2019-10-20,17612.4407,12788.818473815685,4823.622226184314,5.088659675850704,1,看多事件：实时递归季调社融环比超过5%,2019-10-21
2019-10-31,5469.638534,2019-11-20,5469.638534,12311.45897175179,-6841.82043775179,-3.732631775494033,0,未触发,2019-11-21
2019-11-30,13633.17324,2019-12-20,13633.17324,13367.988094890261,265.1851451097385,8.581672777878225,1,看多事件：实时递归季调社融环比超过5%,2019-12-23
2019-12-31,10769.81577,2020-01-20,10769.81577,14588.29751503924,-3818.4817450392406,9.128594456299876,1,看多事件：实时递归季调社融环比超过5%,2020-01-21
2020-01-31,34924.0,2020-02-20,34924.0,13901.258170682293,21022.741829317707,-4.709523805973037,0,未触发,2020-02-21
2020-02-29,7202.0,2020-03-20,7202.0,13483.719255964857,-6281.719255964858,-3.0036052103400546,0,未触发,2020-03-23
2020-03-31,30390.0,2020-04-20,30390.0,23218.022196194725,7171.977803805276,72.19301110799721,1,看多事件：实时递归季调社融环比超过5%,2020-04-21
2020-04-30,16239.0,2020-05-20,16239.0,15842.775822648,396.224177352,-31.765179269901278,0,未触发,2020-05-21
2020-05-31,15502.0,2020-06-20,15502.0,16973.09566958177,-1471.095669581769,7.134607341460475,1,看多事件：实时递归季调社融环比超过5%,2020-06-22
2020-06-30,19029.0,2020-07-20,19029.0,16357.507963515318,2671.492036484682,-3.626844024509168,0,未触发,2020-07-21
2020-07-31,10221.0,2020-08-20,10221.0,16870.16921938587,-6649.169219385867,3.1341036606188366,0,未触发,2020-08-21
2020-08-31,14201.0,2020-09-20,14201.0,15916.91584767542,-1715.9158476754203,-5.650526437014303,0,未触发,2020-09-21
2020-09-30,19171.0,2020-10-20,19171.0,16521.44781756883,2649.5521824311677,3.7980471573687336,0,未触发,2020-10-21
2020-10-31,6663.0,2020-11-20,6663.0,16769.348863226343,-10106.348863226343,1.500480154008632,0,未触发,2020-11-23
2020-11-30,15309.0,2020-12-20,15309.0,16693.887804669037,-1384.8878046690381,-0.44999396919211954,0,未触发,2020-12-21
2020-12-31,11458.0,2021-01-20,11458.0,16933.09142694704,-5475.09142694704,1.4328814538402623,0,未触发,2021-01-21
2021-01-31,38182.0,2021-02-20,38182.0,16522.920320336838,21659.079679663162,-2.4223049192155455,0,未触发,2021-02-22
2021-02-28,13413.0,2021-03-20,13413.0,17510.791490643758,-4097.791490643758,5.978792799061217,1,看多事件：实时递归季调社融环比超过5%,2021-03-22
2021-03-31,27511.0,2021-04-20,27511.0,17538.528207663814,9972.471792336186,0.15839784874873697,0,未触发,2021-04-21
2021-04-30,12840.0,2021-05-20,12840.0,17237.196906804777,-4397.1969068047765,-1.718110535223616,0,未触发,2021-05-21
2021-05-31,14294.0,2021-06-20,14294.0,17020.112446108626,-2726.1124461086256,-1.2593953754189147,0,未触发,2021-06-21
2021-06-30,23182.0,2021-07-20,23182.0,18376.61491140031,4805.385088599692,7.969997081904268,1,看多事件：实时递归季调社融环比超过5%,2021-07-21
2021-07-31,8391.0,2021-08-20,8391.0,16556.86078026781,-8165.860780267811,-9.902553543762727,0,未触发,2021-08-23
2021-08-31,12713.0,2021-09-20,12713.0,15378.614514789224,-2665.614514789225,-7.116362703748768,0,未触发,2021-09-22
2021-09-30,17755.0,2021-10-20,17755.0,14903.231855978165,2851.7681440218353,-3.0911930223226247,0,未触发,2021-10-21
2021-10-31,7752.0,2021-11-20,7752.0,17355.217609294283,-9603.217609294285,16.452711579686973,1,看多事件：实时递归季调社融环比超过5%,2021-11-22
2021-11-30,13021.0,2021-12-20,13021.0,14781.037873033689,-1760.0378730336893,-14.832310341542687,0,未触发,2021-12-21
2021-12-31,10350.0,2022-01-20,10350.0,15429.527962914613,-5079.5279629146125,4.387310928037191,0,未触发,2022-01-21
2022-01-31,41988.0,2022-02-20,41988.0,16495.178839576354,25492.821160423646,6.906568232178389,1,看多事件：实时递归季调社融环比超过5%,2022-02-21
2022-02-28,9084.0,2022-03-20,9084.0,17252.770317837065,-8168.770317837064,4.592805483521323,0,未触发,2022-03-21
2022-03-31,32291.0,2022-04-20,32291.0,17712.851485339706,14578.148514660294,2.666708934431128,0,未触发,2022-04-21
2022-04-30,3616.0,2022-05-20,3616.0,16567.911966884472,-12951.91196688447,-6.463891595336069,0,未触发,2022-05-23
2022-05-31,18230.0,2022-06-20,18230.0,18750.6379940329,-520.6379940328992,13.174418306369585,1,看多事件：实时递归季调社融环比超过5%,2022-06-21
2022-06-30,30540.0,2022-07-20,30540.0,23646.56896913893,6893.43103086107,26.110743413979232,1,看多事件：实时递归季调社融环比超过5%,2022-07-21
2022-07-31,4088.0,2022-08-20,4088.0,16030.391333974729,-11942.391333974729,-32.208383571857944,0,未触发,2022-08-22
2022-08-31,13344.0,2022-09-20,13344.0,17917.95740632477,-4573.957406324769,11.774921978040197,1,看多事件：实时递归季调社融环比超过5%,2022-09-21
2022-09-30,25686.0,2022-10-20,25686.0,19775.08321804054,5910.916781959457,10.364606688149802,1,看多事件：实时递归季调社融环比超过5%,2022-10-21
2022-10-31,4431.0,2022-11-20,4431.0,17110.035581814853,-12679.035581814853,-13.476796061188768,0,未触发,2022-11-21
2022-11-30,11448.0,2022-12-20,11448.0,16935.842208469337,-5487.842208469338,-1.0180772127128423,0,未触发,2022-12-21
2022-12-31,14401.0,2023-01-20,14401.0,18112.121961024746,-3711.121961024745,6.9455049124582,1,看多事件：实时递归季调社融环比超过5%,2023-01-30
2023-01-31,49314.0,2023-02-20,49314.0,20854.855613035797,28459.144386964203,15.143082946951814,1,看多事件：实时递归季调社融环比超过5%,2023-02-21
2023-02-28,18184.0,2023-03-20,18184.0,21761.888349237735,-3577.8883492377354,4.349264042063061,0,未触发,2023-03-21
2023-03-31,39487.0,2023-04-20,39487.0,22778.259367189,16708.740632811,4.670417390441517,0,未触发,2023-04-21
2023-04-30,4431.0,2023-05-20,4431.0,21760.68134832347,-17329.68134832347,-4.467321240231826,0,未触发,2023-05-22
2023-05-31,12219.0,2023-06-20,12219.0,19246.978793286,-7027.978793286001,-11.551580186303001,0,未触发,2023-06-21
2023-06-30,32413.0,2023-07-20,32413.0,21304.819740796185,11108.180259203815,10.691760871207624,1,看多事件：实时递归季调社融环比超过5%,2023-07-21
2023-07-31,364.0,2023-08-20,364.0,18783.953366015947,-18419.953366015947,-11.832375985576071,0,未触发,2023-08-21
2023-08-31,13412.0,2023-09-20,13412.0,19505.13069141383,-6093.13069141383,3.8393266387822367,0,未触发,2023-09-21
2023-09-30,25369.0,2023-10-20,25369.0,18677.226684803783,6691.7733151962175,-4.2445447800792735,0,未触发,2023-10-23
2023-10-31,4837.0,2023-11-20,4837.0,19742.91297303896,-14905.91297303896,5.705805825563193,1,看多事件：实时递归季调社融环比超过5%,2023-11-21
2023-11-30,11120.0,2023-12-20,11120.0,19277.416518158447,-8157.416518158445,-2.357790137231519,0,未触发,2023-12-21
2023-12-31,11092.0,2024-01-20,11092.0,18305.27449033498,-7213.274490334981,-5.042906174215577,0,未触发,2024-01-22
2024-01-31,48401.0,2024-02-20,48401.0,18478.578644579145,29922.421355420855,0.9467443623184524,0,未触发,2024-02-21
2024-02-29,9773.0,2024-03-20,9773.0,17780.188505225018,-8007.188505225017,-3.779458110859657,0,未触发,2024-03-21
2024-03-31,32920.0,2024-04-20,32920.0,17178.781882172032,15741.218117827968,-3.3824535824029778,0,未触发,2024-04-22
2024-04-30,3349.0,2024-05-20,3349.0,17561.669928188407,-14212.669928188405,2.2288428169271457,0,未触发,2024-05-21
2024-05-31,8197.0,2024-06-20,8197.0,15885.260329363631,-7688.26032936363,-9.545843907098806,0,未触发,2024-06-21
