date,qvix
2018-05-30,21.47
2018-05-31,20.27
2018-06-01,20.47
2018-06-04,19.52
2018-06-05,18.74
2018-06-06,18.86
2018-06-07,18.23
2018-06-08,19.24
2018-06-11,20.04
2018-06-12,18.94
2018-06-13,19.25
2018-06-14,19.62
2018-06-15,20.02
2018-06-19,23.67
2018-06-20,21.14
2018-06-21,19.86
2018-06-22,19.39
2018-06-25,20.49
2018-06-26,20.6
2018-06-27,22.15
2018-06-28,22.9
2018-06-29,21.16
2018-07-02,26.38
2018-07-03,25.93
2018-07-04,27.12
2018-07-05,27.43
2018-07-06,25.72
2018-07-09,22.74
2018-07-10,22.83
2018-07-11,25.52
2018-07-12,23.35
2018-07-13,23.52
2018-07-16,23.46
2018-07-17,22.9
2018-07-18,21.86
2018-07-19,20.73
2018-07-20,21.3
2018-07-23,21.37
2018-07-24,23.3
2018-07-25,23.28
2018-07-26,22.61
2018-07-27,21.68
2018-07-30,22.02
2018-07-31,21.94
2018-08-01,23.8
2018-08-02,24.73
2018-08-03,24.89
2018-08-06,25.73
2018-08-07,25.28
2018-08-08,25.43
2018-08-09,25.32
2018-08-10,24.53
2018-08-13,25.33
2018-08-14,25.19
2018-08-15,25.92
2018-08-16,26.17
2018-08-17,26.35
2018-08-20,26.3
2018-08-21,23.95
2018-08-22,22.97
2018-08-23,21.97
2018-08-24,21.91
2018-08-27,22.03
2018-08-28,22.21
2018-08-29,22.7
2018-08-30,22.72
2018-08-31,22.42
2018-09-03,23.03
2018-09-04,22.1
2018-09-05,23.25
2018-09-06,23.84
2018-09-07,23.39
2018-09-10,24.54
2018-09-11,23.96
2018-09-12,23.65
2018-09-13,23.1
2018-09-14,21.58
2018-09-17,20.94
2018-09-18,20.37
2018-09-19,19.19
2018-09-20,18.39
2018-09-21,19.25
2018-09-25,20.47
2018-09-26,21.11
2018-09-27,20.6
2018-09-28,21.78
2018-10-08,24.4
2018-10-09,23.11
2018-10-10,23.12
2018-10-11,25.56
2018-10-12,25.83
2018-10-15,26.85
2018-10-16,26.38
2018-10-17,26.53
2018-10-18,28.08
2018-10-19,26.04
2018-10-22,26.15
2018-10-23,27.46
2018-10-24,27.44
2018-10-25,28.47
2018-10-26,29.37
2018-10-29,31.81
2018-10-30,31.79
2018-10-31,31.1
2018-11-01,29.06
2018-11-02,28.28
2018-11-05,30.13
2018-11-06,30.84
2018-11-07,30.9
2018-11-08,30.43
2018-11-09,31.01
2018-11-12,31.33
2018-11-13,30.59
2018-11-14,30.04
2018-11-15,29.33
2018-11-16,28.68
2018-11-19,28.13
2018-11-20,27.24
2018-11-21,27.13
2018-11-22,26.35
2018-11-23,25.62
2018-11-26,25.76
2018-11-27,24.88
2018-11-28,24.19
2018-11-29,24.33
2018-11-30,24.9
2018-12-03,22.82
2018-12-04,20.83
2018-12-05,20.78
2018-12-06,20.94
2018-12-07,19.91
2018-12-10,20.36
2018-12-11,20.33
2018-12-12,20.17
2018-12-13,19.2
2018-12-14,19.44
2018-12-17,20.33
2018-12-18,20.64
2018-12-19,20.75
2018-12-20,23.2
2018-12-21,23.78
2018-12-24,22.83
2018-12-25,23.85
2018-12-26,23.38
2018-12-27,23.13
2018-12-28,22.71
2019-01-02,22.22
2019-01-03,21.68
2019-01-04,21.2
2019-01-07,21.61
2019-01-08,20.69
2019-01-09,18.87
2019-01-10,18.52
2019-01-11,18.15
2019-01-14,18.45
2019-01-15,17.61
2019-01-16,16.6
2019-01-17,17.21
2019-01-18,17.67
2019-01-21,18.93
2019-01-22,17.46
2019-01-23,16.9
2019-01-24,15.39
2019-01-25,15.02
2019-01-28,16.54
2019-01-29,17.81
2019-01-30,18.3
2019-01-31,18.03
2019-02-01,18.63
2019-02-11,19.05
2019-02-12,18.54
2019-02-13,20.0
2019-02-14,21.95
2019-02-15,20.32
2019-02-18,21.99
2019-02-19,22.86
2019-02-20,23.65
2019-02-21,22.58
2019-02-22,22.36
2019-02-25,32.8
2019-02-26,30.98
2019-02-27,30.93
2019-02-28,29.13
2019-03-01,27.32
2019-03-04,29.6
2019-03-05,30.52
2019-03-06,31.51
2019-03-07,32.65
2019-03-08,33.02
2019-03-11,30.11
2019-03-12,30.11
2019-03-13,30.0
2019-03-14,28.2
2019-03-15,27.19
2019-03-18,27.39
2019-03-19,29.85
2019-03-20,29.37
2019-03-21,30.17
2019-03-22,29.63
2019-03-25,27.7
2019-03-26,27.18
2019-03-27,26.3
2019-03-28,25.5
2019-03-29,27.33
2019-04-01,29.41
2019-04-02,29.92
2019-04-03,29.41
2019-04-04,31.0
2019-04-08,32.5
2019-04-09,31.06
2019-04-10,31.21
2019-04-11,31.0
2019-04-12,28.16
2019-04-15,28.13
2019-04-16,28.38
2019-04-17,28.7
2019-04-18,28.71
2019-04-19,28.4
2019-04-22,29.5
2019-04-23,27.64
2019-04-24,27.07
2019-04-25,26.74
2019-04-26,25.94
2019-04-29,25.39
2019-04-30,25.59
2019-05-06,29.41
2019-05-07,26.24
2019-05-08,27.2
2019-05-09,29.04
2019-05-10,29.04
2019-05-13,27.73
2019-05-14,26.68
2019-05-15,25.09
2019-05-16,23.93
2019-05-17,23.75
2019-05-20,23.21
2019-05-21,22.47
2019-05-22,21.55
2019-05-23,22.17
2019-05-24,21.76
2019-05-27,23.09
2019-05-28,22.25
2019-05-29,21.55
2019-05-30,21.78
2019-05-31,22.37
2019-06-03,23.15
2019-06-04,23.68
2019-06-05,23.33
2019-06-06,23.41
2019-06-10,22.3
2019-06-11,21.62
2019-06-12,21.66
2019-06-13,20.87
2019-06-14,21.15
2019-06-17,21.09
2019-06-18,20.3
2019-06-19,19.55
2019-06-20,23.12
2019-06-21,25.27
2019-06-24,26.22
2019-06-25,26.31
2019-06-26,26.02
2019-06-27,26.99
2019-06-28,27.95
2019-07-01,25.69
