date,index_close,pe_ttm_index,pe_ttm_median,pb_index,pb_median
2010-11-11,,18.16,18.16,2.79,4.25
2010-11-12,,17.25,17.25,2.65,3.94
2010-11-15,,17.38,17.38,2.67,4.01
2010-11-16,,16.66,16.66,2.56,3.82
2010-11-17,,16.34,16.34,2.51,3.72
2010-11-18,,16.56,16.56,2.54,3.78
2010-11-19,,16.7,16.7,2.56,3.88
2010-11-22,,16.66,16.66,2.55,3.88
2010-11-23,,16.36,16.36,2.5,3.82
2010-11-24,,16.53,16.53,2.53,3.91
2010-11-25,,16.74,16.74,2.56,3.96
2010-11-26,,16.58,16.58,2.53,3.95
2010-11-29,,16.57,16.57,2.53,3.93
2010-11-30,,16.33,16.33,2.49,3.82
2010-12-01,,16.35,16.35,2.49,3.81
2010-12-02,,16.5,16.5,2.51,3.84
2010-12-03,,16.49,16.49,2.51,3.81
2010-12-06,,16.56,16.56,2.52,3.78
2010-12-07,,16.69,16.69,2.54,3.84
2010-12-08,,16.53,16.53,2.52,3.82
2010-12-09,,16.31,16.31,2.48,3.75
2010-12-10,,16.48,16.48,2.51,3.82
2010-12-13,,16.95,16.95,2.58,3.96
2010-12-14,,17.01,17.01,2.58,4.01
2010-12-15,,16.92,16.92,2.57,3.98
2010-12-16,,16.9,16.9,2.55,3.99
2010-12-17,,16.86,16.86,2.54,3.97
2010-12-20,,16.62,16.62,2.51,3.93
2010-12-21,,16.93,16.93,2.55,3.99
2010-12-22,,16.77,16.77,2.53,3.95
2010-12-23,,16.65,16.65,2.51,3.88
2010-12-24,,16.53,16.53,2.49,3.83
2010-12-27,,16.24,16.24,2.45,3.71
2010-12-28,,15.97,15.97,2.4,3.61
2010-12-29,,16.09,16.09,2.41,3.66
2010-12-30,,16.14,16.14,2.42,3.67
2010-12-31,,16.43,16.43,2.46,3.75
2011-01-04,,16.92,16.92,2.55,3.97
2011-01-05,,16.84,16.84,2.54,3.97
2011-01-06,,16.72,16.72,2.53,3.97
2011-01-07,,16.81,16.81,2.54,3.93
2011-01-10,,16.54,16.54,2.5,3.82
2011-01-11,,16.61,16.61,2.51,3.82
2011-01-12,,16.7,16.7,2.52,3.84
2011-01-13,,16.75,16.75,2.53,3.84
