序号,基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,自定义,手续费
80,002861,工银智能制造股票A,2026-07-22,3.51,3.51,-2.9,-5.95,-11.3,4.53,17.51,103.12,177.25,162.53,37.0,251.0,103.8328,0.15%
81,019765,国寿安保优选国企股票发起式A,2026-07-22,2.362,2.362,-2.21,-5.92,-7.5,35.08,40.14,102.92,139.92,,62.14,136.2,103.8491,0.12%
82,019766,国寿安保优选国企股票发起式C,2026-07-22,2.3309,2.3309,-2.21,-5.92,-7.53,34.91,39.8,101.9,137.56,,61.69,133.09,102.8281,0.00%
83,022710,工银智能制造股票C,2026-07-22,3.478,3.478,-2.88,-5.95,-11.32,4.38,17.14,101.86,,,36.55,138.22,102.6807,0.00%
84,001070,建信信息产业股票A,2026-07-22,5.044,5.044,-2.79,-11.15,-20.82,19.41,30.71,101.12,151.7,102.9,46.37,404.4,101.9215,0.15%
85,009491,宝盈创新驱动股票A,2026-07-22,2.5593,2.5593,-3.79,-11.35,-22.48,5.46,38.78,100.9,177.76,173.23,42.52,155.93,99.7424,0.15%
86,001396,建信互联网+产业升级股票,2026-07-22,2.126,2.126,-3.14,-7.32,-19.19,12.19,38.68,100.57,140.23,104.82,51.21,112.6,100.566,0.15%
87,014863,建信信息产业股票C,2026-07-22,4.964,4.964,-2.78,-11.17,-20.84,19.3,30.43,100.32,150.2,100.81,46.04,68.61,101.0531,0.00%
88,009492,宝盈创新驱动股票C,2026-07-22,2.4839,2.4839,-3.79,-11.36,-22.52,5.33,38.43,99.91,174.98,169.11,42.12,148.39,98.7438,0.00%
89,013339,创金合信芯片产业股票发起A,2026-07-22,1.9754,1.9754,-0.7,-2.19,-5.44,35.62,31.7,98.75,153.09,121.66,54.63,97.54,98.3333,0.15%
90,013340,创金合信芯片产业股票发起C,2026-07-22,1.9284,1.9284,-0.71,-2.2,-5.48,35.45,31.38,97.76,150.6,118.32,54.2,92.84,97.3393,0.00%
91,010361,嘉实品质优选股票A,2026-07-22,0.9876,0.9876,-2.59,-7.15,-19.81,7.76,22.82,97.44,106.7,69.43,36.75,-1.24,97.1257,0.15%
92,002980,华夏创新前沿股票A,2026-07-22,5.142,5.142,-2.5,-5.16,-11.16,17.21,36.28,96.94,150.71,119.56,46.58,414.2,97.2382,0.15%
93,008009,华商高端装备制造股票A,2026-07-22,4.7546,4.7546,-4.74,-13.18,-29.29,-14.19,14.32,96.39,161.99,130.55,22.81,375.46,98.1827,0.15%
94,010362,嘉实品质优选股票C,2026-07-22,0.9577,0.9577,-2.59,-7.16,-19.84,7.59,22.5,96.29,104.29,66.44,36.33,-4.23,95.9689,0.00%
95,004784,招商稳健优选股票A,2026-07-22,5.7546,5.7546,-1.29,-4.01,-15.9,18.2,19.71,95.78,142.23,115.84,32.59,475.46,96.5033,0.15%
96,016050,华商高端装备制造股票C,2026-07-22,4.6366,4.6366,-4.74,-13.19,-29.32,-14.33,13.92,95.12,158.75,126.34,22.33,94.12,96.8999,0.00%
97,019863,招商稳健优选股票C,2026-07-22,5.8744,5.8744,-1.29,-4.02,-15.94,18.02,19.36,94.62,139.34,,32.15,137.13,95.338,0.00%
98,001749,招商中国机遇股票A,2026-07-22,2.82,2.82,-3.23,-9.88,-25.16,13.53,32.52,93.68,132.1,97.34,44.69,182.0,94.7514,0.15%
99,001040,新华策略精选股票A,2026-07-22,3.1353,3.5733,-2.99,-18.36,-26.72,-3.25,25.27,90.1,195.0,130.08,40.06,291.93,90.0182,0.15%
100,020553,南方半导体产业股票发起A,2026-07-22,2.7709,2.7709,-2.25,-21.64,-20.64,3.18,14.16,88.32,169.46,,32.29,177.09,84.6036,0.15%
