date,northbound_net_cny100m,mean120,std120,upper,lower,trigger,state
2017-11-02,15.1751,10.416795,14.664975921693191,25.08177092169319,-4.248180921693191,,多头
2017-11-03,1.9037,10.254964166666667,14.650751201922676,24.90571536858934,-4.395787035256008,,多头
2017-11-03,1.9037,10.254964166666667,14.650751201922676,24.90571536858934,-4.395787035256008,,多头
2017-11-06,4.8426,10.118185833333333,14.62377558815286,24.741961421486195,-4.5055897548195265,,多头
2017-11-06,4.8426,10.118185833333332,14.62377558815286,24.741961421486195,-4.505589754819527,,多头
2017-11-07,15.2373,10.058069999999999,14.587433035043084,24.645503035043085,-4.529363035043085,,多头
2017-11-07,15.2373,10.05807,14.587433035043084,24.645503035043085,-4.529363035043085,,多头
2017-11-08,18.6979,10.204931666666669,14.584942458110161,24.78987412477683,-4.3800107914434925,,多头
2017-11-08,18.6979,10.204931666666669,14.58494245811016,24.78987412477683,-4.3800107914434925,,多头
2017-11-09,29.8382,10.31607,14.683804609707524,24.999874609707526,-4.367734609707524,越上限(看多),多头
2017-11-09,29.8382,10.31607,14.683804609707524,24.99987460970753,-4.367734609707524,越上限(看多),多头
2017-11-10,2.30849999999999,10.085274166666666,14.589104546198714,24.67437871286538,-4.503830379532047,,多头
2017-11-10,2.30849999999999,10.085274166666666,14.589104546198714,24.67437871286538,-4.503830379532047,,多头
2017-11-13,5.747999999999999,10.008749166666666,14.587557367194018,24.596306533860684,-4.578808200527352,,多头
2017-11-13,5.747999999999999,10.008749166666666,14.587557367194018,24.596306533860684,-4.578808200527352,,多头
2017-11-14,3.2938,9.956180833333333,14.600396060262234,24.55657689359557,-4.644215226928901,,多头
2017-11-14,3.2938,9.956180833333333,14.600396060262234,24.55657689359557,-4.644215226928901,,多头
2017-11-15,-21.5748,9.670556666666666,14.878866680273992,24.549423346940657,-5.208310013607326,越下限(看空),空头
2017-11-15,-21.5748,9.670556666666666,14.878866680273992,24.549423346940657,-5.208310013607326,越下限(看空),空头
2017-11-16,4.2662,9.6589975,14.882552204762238,24.54154970476224,-5.223554704762238,,空头
2017-11-16,4.2662,9.6589975,14.882552204762238,24.54154970476224,-5.223554704762238,,空头
2017-11-17,-15.494200000000001,9.506775000000001,15.046100516366828,24.55287551636683,-5.5393255163668265,越下限(看空),空头
2017-11-17,-15.4942,9.506775,15.046100516366828,24.55287551636683,-5.5393255163668265,越下限(看空),空头
2017-11-20,-9.371399999999989,9.341025833333335,15.144096922061411,24.485122755394748,-5.8030710887280765,越下限(看空),空头
2017-11-20,-9.371399999999989,9.341025833333337,15.144096922061411,24.485122755394748,-5.8030710887280765,越下限(看空),空头
2017-11-21,-7.00829999999999,9.1570375,15.207890086891382,24.364927586891383,-6.0508525868913825,越下限(看空),空头
2017-11-21,-7.00829999999999,9.1570375,15.207890086891382,24.364927586891383,-6.050852586891383,越下限(看空),空头
2017-11-22,4.0297,9.1918875,15.191160263760462,24.383047763760462,-5.999272763760462,,空头
2017-11-22,4.0297,9.1918875,15.191160263760462,24.383047763760462,-5.999272763760462,,空头
